doll_name,doll_line,eye_color_real,hair_color,face_mold,skin_color,skin_tone
Truly Me 22,Truly Me,Light Blue,Blonde,Classic,Light,10
Truly Me 23,Truly Me,Light Blue,Brown,Classic,Light,10
Truly Me 24,Truly Me,Brown,Blonde,Classic,Light,10
Truly Me 25,Truly Me,Brown,Black,Classic,Light,10
Truly Me 26,Truly Me,Brown,Brown,Addy,Medium,20
Truly Me 27,Truly Me,Dark Blue,Blonde,Classic,Light,10
Truly Me 28,Truly Me,Brown,Brown,Josefina,Medium,20
Truly Me 29,Truly Me,Brown,Brown,Classic,Medium,20
Truly Me 3,Truly Me,Light Blue,Blonde,Classic,Light,10
Truly Me 30,Truly Me,Brown,Black,Jess,Light,10
Truly Me 31,Truly Me,Brown,Black,Addy,Dark,30
Truly Me 32,Truly Me,Light Blue,Blonde,Classic,Light,10
Truly Me 33,Truly Me,Light Blue,Red,Classic,Light,10
Truly Me 34,Truly Me,Brown,Brown,Classic,Light,10
Truly Me 35,Truly Me,Brown,Red,Classic,Light,10
Truly Me 36,Truly Me,Hazel,Red,Classic,Light,10
Truly Me 37,Truly Me,Green,Red,Classic,Light,10
Truly Me 38,Truly Me,Hazel,Red,Classic,Light,10
Truly Me 39,Truly Me,Light Blue,Caramel,Classic,Light,10
Truly Me 4,Truly Me,Brown,Black,Asian,Light,10
Truly Me 40,Truly Me,Brown,Black,Jess,Light,10
Truly Me 41,Truly Me,Green,Black,Classic,Light,10
Truly Me 42,Truly Me,Brown,Black,Classic,Medium,20
Truly Me 43,Truly Me,Hazel,Brown,Classic,Medium,20
Truly Me 44,Truly Me,Hazel,Brown,Classic,Medium,20
Truly Me 45,Truly Me,Brown,Brown,Addy,Dark,30
Truly Me 46,Truly Me,Brown,Brown,Sonali,Dark,30
Truly Me 47,Truly Me,Brown,Black,Sonali,Dark,30
Truly Me 48,Truly Me,Hazel,Black,Classic,Light,10
Truly Me 49,Truly Me,Light Blue,Black,Classic,Medium,20
Truly Me 5,Truly Me,Green,Red,Classic,Light,10
Truly Me 50,Truly Me,Brown,Black,Addy,Dark,30
Truly Me 51,Truly Me,Light Blue,Blonde,Classic,Light,10
Truly Me 52,Truly Me,Green,Blonde,Classic,Light,10
Truly Me 53,Truly Me,Brown,Blonde,Josefina,Light,10
Truly Me 54,Truly Me,Brown,Black,Jess,Light,10
Truly Me 55,Truly Me,Hazel,Brown,Classic,Light,10
Truly Me 56,Truly Me,Light Blue,Blonde,Classic,Light,10
Truly Me 57,Truly Me,Brown,Brown,Classic,Light,10
Truly Me 58,Truly Me,Brown,Black,Addy,Dark,30
Truly Me 59,Truly Me,Brown,Brown,Classic,Light,10
Truly Me 6,Truly Me,Light Green,Blonde,Classic,Light,10
Truly Me 60,Truly Me,Light Blue,Black,Classic,Light,10
Truly Me 61,Truly Me,Green,Red,Classic,Light,10
Truly Me 62,Truly Me,Brown,Brown,Sonali,Medium,20
Truly Me 63,Truly Me,Light Blue,Blonde,Classic,Light,10
Truly Me 64,Truly Me,Brown,Brown,Jess,Light,10
Truly Me 65,Truly Me,Light Blue,Red,Classic,Light,10
Truly Me 66,Truly Me,Brown,Black,Josefina,Medium,20
Truly Me 67,Truly Me,Brown,Black,Sonali,Dark,30
Truly Me 68,Truly Me,Brown,Brown,Josefina,Light,10
Truly Me 69,Truly Me,Brown,Black,Classic,Light,10
Truly Me 7,Truly Me,Green,Brown,Classic,Light,10
Truly Me 70,Truly Me,Light Blue,No Hair,Classic,Light,10
Truly Me 71,Truly Me,Brown,No Hair,Classic,Light,10
Truly Me 72,Truly Me,Brown,No Hair,Jess,Light,10
Truly Me 73,Truly Me,Brown,No Hair,Sonali,Dark,30
Truly Me 74,Truly Me,Light Blue,Blonde,Classic,Light,5
Truly Me 75,Truly Me,Brown,Black,Jess,Light,10
Truly Me 76,Truly Me,Brown,Black,Sonali,Medium,20
Truly Me 77,Truly Me,Brown,Black,Addy,Dark,30
Truly Me 78,Truly Me,Green,Blonde,Classic,Light,5
Truly Me 79,Truly Me,Hazel,Brown,Jess,Medium,25
Truly Me 8,Truly Me,Light Green,Red,Classic,Light,10
Truly Me 80,Truly Me,Brown,Black,Josefina,Dark,35
Truly Me 81,Truly Me,Brown,Caramel,Classic,Light,5
Truly Me 82,Truly Me,Brown,Black,Josefina,Medium,25
Truly Me 83,Truly Me,Hazel,Blonde,Josefina,Light,5
Truly Me 84,Truly Me,Brown,Black,Jess,Light,5
Truly Me 85,Truly Me,Brown,Black,Addy,Dark,35
Truly Me 86,Truly Me,Brown,Unnatural,Josefina,Medium,20
Truly Me 87,Truly Me,Blue,Unnatural,Classic,Light,10
Truly Me 88,Truly Me,Blue,Unnatural,Classic,Light,5
Truly Me 89,Truly Me,Hazel,Brown,Josefina,Medium,20
Truly Me 9,Truly Me,Grey,Brown,Classic,Light,10
Truly Me 90,Truly Me,Blue,Unnatural,Josefina,Light,10
Truly Me 91,Truly Me,Grey,Unnatural,Sonali,Dark,35
Truly Me 92,Truly Me,Brown,Blonde,Classic,Medium,25
Z Yang,Contemporary,Brown,Black,Jess,Light,10
